No.,Nama Perusahaan,Alamat,Merek,Tahun Sertifikasi Awal,No Sertifikat SPPT SNI Terbaru,No HP,Keterangan
1,CV Lampoih Raya,"Gampong Dua Paya Lampoih Saka, Kel. Dua Paya, Kec. Peukan Baro, Kab. Pidie, Provinsi Aceh",WaterHEX,2012,,wa.me/081262965756,Bukhari
2,CV Ie Yadara,Jl. Mesjid Raya Gampong Meurah Kec. Samalanga Kab. Bireuen,Ie Yadara,2015,,wa.me/085260884900,Tgk Herizal
3,CV Galang Q-Lia,"Gampong Baro Kec. Pidie Kabupaten Pidie, Provinsi Aceh",Q-LIA,2015,,wa.me/085277228385,Nasrullah
4,CV Samichsan Mulia,Jl. Utama No. 28 Bukit Meusara Kota Jantho Kabupaten Aceh Besar,Spring Mountain,2015,,wa.me/08116824248,Jailani
5,PT Lima Lima Perkasa ,"Jl. Mayor Bahrin No.2 Desa Tangsi, Blangkeujeren Kabupaten Gayo Lues
Kp. Bener, Kelurahan Bener, Kec. Kutapanjang, Kab. Gayo Lues, Provinsi Aceh",Agner,2015,,wa.me/082298451616,Robby
6,UD Higien,"Dusun Pasar Inpres, Desa/Kelurahan Bener Mulie, Kec. Wih Pesam Kabupaten Bener Meriah, Provinsi Aceh
Jln. Takengon-Bireuen, Desa/Kelurahan Bener Mulie, Kec. Wih Pesam, Kab. Bener Meriah, Provinsi Aceh","Aqsa
Wehteni",2015,,wa.me/082370466667,Saidi
7,PT. Ulee Kareng Inti Rasa,Jl. Lamgapang No. 6 Kecamatan Krueng Barona Jaya Kab. Aceh Besar,Ulee Kareng,2015,,wa.me/081360004471,Asnawi
,,,,,,wa.me/085358673687,Dijah
8,PT Tirta Darussalam Internusa,Jl. Kuburan Cina Mata Ie GP. Geundrieng Kecamatan Darul Imarah Kabupaten Aceh Besar,BeRhych21,2015,,wa.me/082168215569,Tandi
,,,,,,wa.me/082160100173,Farid Maulana
9,CV Cahaya Tirta Perkasa,"Jl. Lingkar Keunire, Gampong Cot Teungoh, Kec. Pidie, Sigli",Green'O,2015,,wa.me/085358490969,Ridwan
10,UD Milhy Jaya,"Jl. Cot Iju Km. 5, Desa Tanoh Anoe, Kec. Jangka, Kab. Bireuen",Milhy,2015,,wa.me/081377033311,Qurata Aini
11,CV Tirta Bening Abadi,"Jl. Ajun Jeumpet Lr. Abadi 2, Kec. Darul Imarah Kab. Aceh Besar, Provinsi Aceh
Jl. Ajun Jeumpet Lr. Abadi 2 No. 4, Kec. Darul Imarah Kab. Aceh Besar, Provinsi Aceh",NAie,2015,,wa.me/08116871000,Aidil
,,,,,,wa.me/085219229887,Toha
12,Koperasi Serba Usaha Sawah Liek,"Gampong Padang Bakau Kecamatan Labuhan Haji, Kabupaten Aceh Selatan, Provinsi Aceh",Asyfiat,2016,,wa.me/081269332055,Tgk Herman
